Basic Materials,#,
DD,E. I. du Pont de Nemours and Company,United States,Agricultural Chemicals,
MON,Monsanto Company,United States,Agricultural Chemicals,
MOS,The Mosaic Company,United States,Agricultural Chemicals,
AA,Alcoa Inc.,United States,Aluminum,
DOW,The Dow Chemical Company,United States,Chemicals - Major Diversified,
EMN,Eastman Chemical Co.,United States,Chemicals - Major Diversified,
FMC,FMC Corp.,United States,Chemicals - Major Diversified,
PX,Praxair Inc.,United States,Chemicals - Major Diversified,
FCX,Freeport-McMoRan Inc.,United States,Copper,
NEM,Newmont Mining Corporation,United States,Gold,
APA,Apache Corp.,United States,Independent Oil & Gas,
APC,Anadarko Petroleum Corporation,United States,Independent Oil & Gas,
CHK,Chesapeake Energy Corporation,United States,Independent Oil & Gas,
CNX,CONSOL Energy Inc.,United States,Independent Oil & Gas,
COG,Cabot Oil & Gas Corporation,United States,Independent Oil & Gas,
COP,ConocoPhillips,United States,Independent Oil & Gas,
DNR,Denbury Resources Inc.,United States,Independent Oil & Gas,
DVN,Devon Energy Corporation,United States,Independent Oil & Gas,
EQT,EQT Corporation,United States,Independent Oil & Gas,
HES,Hess Corporation,United States,Independent Oil & Gas,
MRO,Marathon Oil Corporation,United States,Independent Oil & Gas,
MUR,Murphy Oil Corporation,United States,Independent Oil & Gas,
NFX,Newfield Exploration Co.,United States,Independent Oil & Gas,
OXY,Occidental Petroleum Corporation,United States,Independent Oil & Gas,
PXD,Pioneer Natural Resources Co.,United States,Independent Oil & Gas,
MPC,Marathon Petroleum Corporation,United States,Oil & Gas Refining & Marketing,
SUN,Sunoco LP,United States,Oil & Gas Refining & Marketing,
TSO,Tesoro Corporation,United States,Oil & Gas Refining & Marketing,
Utilities,#,
AEP,American Electric Power Co.,United States,Electric Utilities,
CNP,CenterPoint Energy,United States,Gas Utilities,
D,Dominion Resources,United States,Electric Utilities,
ED,Consolidated Edison,United States,Electric Utilities,
Technology,#,
ADI,Analog Devices,United States,Semiconductor - Integrated Circuits,
ADP,Automatic Data Processing,United States,Business Software & Services,
ADSK,Autodesk,United States,Technical & System Software,
AKAM,Akamai Technologies,United States,Internet Information Providers,
AMAT,Applied Materials,United States,Semiconductor Equipment & Materials,
AMD,Advanced Micro Devices,United States,Semiconductor - Broad Line,
CA,CA,United States,Business Software & Services,
CRM,salesforce.com,United States,Application Software,
CSCO,Cisco Systems,United States,Networking & Communication Devices,
CTL,CenturyLink,United States,Telecom Services - Domestic,
CTXS,Citrix Systems,United States,Business Software & Services,
FFIV,F5 Networks,United States,Business Software & Services,
